RN_IAT,IAT,clock,RN_ST,Able_ST_Begine,Able_ST,Able_ST_End,Baker_ST_Begine,Baker_ST,Baker_ST_End,Queuing_Time,Time_Spent_n_System,Able_IDT,Baker_IDT
0,1,0,95,-,-,-,0,5,5,0,5,-,0
26,2,2.0,21,2,2,4,-,-,-,0,2,2,-
98,4,6.0,51,-,-,-,6,3,9,0,3,-,1
90,4,10.0,92,-,-,-,10,5,15,0,5,-,1
26,2,12.0,89,12,5,17,-,-,-,0,5,8,-
42,2,14.0,38,-,-,-,15,3,18,1,4,-,0
74,3,17.0,13,17,2,19,-,-,-,0,2,0,-
80,3,20.0,61,-,-,-,20,4,24,0,4,-,2
68,3,23.0,50,23,3,26,-,-,-,0,3,4,-
22,1,24.0,49,-,-,-,24,3,27,0,3,-,0
48,2,26.0,39,26,3,29,-,-,-,0,3,0,-
34,2,28.0,53,-,-,-,28,3,31,0,3,-,1
45,2,30.0,88,30,5,35,-,-,-,0,5,1,-
24,1,31.0,1,-,-,-,31,2,33,0,2,-,0
34,2,33.0,81,-,-,-,33,5,38,0,5,-,0
63,2,35.0,53,35,3,38,-,-,-,0,3,0,-
38,2,37.0,81,-,-,-,38,5,43,1,6,-,0
80,3,40.0,64,40,4,44,-,-,-,0,4,2,-
42,2,42.0,1,-,-,-,43,2,45,1,3,-,0
56,2,44.0,67,44,4,48,-,-,-,0,4,0,-
89,4,48.0,1,-,-,-,48,2,50,0,2,-,3
18,1,49.0,47,49,3,52,-,-,-,0,3,1,-
51,2,51.0,75,-,-,-,51,4,55,0,4,-,1
71,3,54.0,57,54,3,57,-,-,-,0,3,2,-
16,1,55.0,87,-,-,-,55,5,60,0,5,-,0
92,4,59.0,47,59,3,62,-,-,-,0,3,2,-
